メッシュ名,メッシュ名略号,調査番号,調査日,階層,高さ,被度（％）,種名,学名,メッシュの主な所在地,環ＲＤＢ,ＮＲＤＢ,茨ＲＤＢ,群ＲＤＢ,埼ＲＤＢ,千ＲＤＢ,群馬県目録,栃木県目録,茨城県目録,埼玉県目録
54396655宇都宮,宇都宮55,6,2002年 7月29日,草本層,0.35,80,ミズトラノオ,Eustellaris yatabeana (Makino) Murata,栃木県,絶滅危惧II類,,●,●,●,●,○,○,○,○
54396655宇都宮,宇都宮55,6,2002年 7月29日,草本層,0.6,15,ウシクグ,Cyperus orthostachyus Franch. et Savat.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,6,2002年 7月29日,草本層,0.5,15,アキノウナギツカミ,Persicaria sieboldii (Meisn.) Ohki,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,6,2002年 7月29日,草本層,0.6,1,オオイヌタデ,Persicaria lapathifolia (Linn.) S. F. Gray,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,6,2002年 7月29日,草本層,0.7,3,イヌビエ,Echinochloa crus-galli (Linn.) Beauv.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,6,2002年 7月29日,草本層,0.8,1,コガマ,Typha orientalis Presl,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,6,2002年 7月29日,草本層,0.3,5,ミゾソバ,Persicaria thunbergii (Sieb. et Zucc.) H. Gross,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,6,2002年 7月29日,草本層,0.2,10,ノミノフスマ,Stellaria alsine Grimm var. undulata (Thunb.) Ohwi,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,6,2002年 7月29日,草本層,0.02,0.05,スカシタゴボウ,Rorippa islandica (Oeder) Borlbas,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,6,2002年 7月29日,草本層,0.05,1,タカサブロウ,Eclipta prostrata (Linn.) Linn.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,7,2002年 7月29日,草本層,0.9,15,コガマ,Typha orientalis Presl,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,7,2002年 7月29日,草本層,0.75,3,クサヨシ,Phalaris arundinacea Linn.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,7,2002年 7月29日,草本層,0.5,80,ミズトラノオ,Eustellaris yatabeana (Makino) Murata,栃木県,絶滅危惧II類,,●,●,●,●,○,○,○,○
54396655宇都宮,宇都宮55,7,2002年 7月29日,草本層,0.7,10,アキノウナギツカミ,Persicaria sieboldii (Meisn.) Ohki,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,7,2002年 7月29日,草本層,0.45,0.5,ヒメジソ,Mosla dianthera (Hamilt.) Maxim.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,7,2002年 7月29日,草本層,0.6,0.5,ヤブマメ,Amphicarpaea edgeworthii (Benth.) Ohashi var. japonica (Oliver) Ohashi,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,7,2002年 7月29日,草本層,0.8,1,オオイヌタデ,Persicaria lapathifolia (Linn.) S. F. Gray,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,7,2002年 7月29日,草本層,0.5,2,イボクサ,Murdannia keisak Hassk.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,7,2002年 7月29日,草本層,0.5,0.3,コブナグサ,Arthraxon hispidus (Thunb.) Makino,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,7,2002年 7月29日,草本層,0.2,15,ノミノフスマ,Stellaria alsine Grimm var. undulata (Thunb.) Ohwi,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,8,2002年 7月29日,草本層,0.8,70,クサヨシ,Phalaris arundinacea Linn.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,8,2002年 7月29日,草本層,0.7,40,ツユクサ,Commelina communis Linn.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,8,2002年 7月29日,草本層,0.9,3,イシミカワ,Persicaria perfoliata (Linn.) H. Gross,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,8,2002年 7月29日,草本層,0.9,5,カナムグラ,Humulus japonicus Sieb. et Zucc.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,8,2002年 7月29日,草本層,0.8,30,ツルマメ,Glycine max (Linn.) Merrill zubsp. soja (Sieb. et Zucc.) Ohashi,栃木県,,,,,,,○,○,○,○
